Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,Location,Postal Code
Queens Road,1675000,House,2716,5,5,Wimbledon,SW19 8NY
Seward Street,650000,Flat / Apartment,814,2,2,Clerkenwell,EC1V 3PA
Hotham Road,735000,Flat / Apartment,761,2,2,Putney,SW15 1QL
Festing Road,1765000,House,1986,4,4,Putney,SW15 1LP
Spencer Walk,675000,Flat / Apartment,700,2,2,Putney,SW15 1PL
Bishops Gate,650000,New development,560,1,1, Fulham,SW6 3LF
Cromwell Avenue,2500000,House,2974,6,6,Highgate,N6 5HQ
Ashley Park Avenue,2795000,House,5294,5,5,Walton-on-Thames,KT12 1ER
Grove End House,725000,Flat / Apartment,778,2,2, St. John's Wood,NW8 9HP
Abercorn Mansions,750000,Flat / Apartment,647,2,2,17 Abercorn Place,NW8 9DY
Chester Terrace,12500000,House,4596,6,6,Regents Park,NW1 4ND
Hazelwood Lane,1250000,House,3503,6,6, Coulsdon,CR5 3QW
Elsworthy Rise,2275000,New development,1173,3,3,Primrose Hill,NW3 3DS
Devonshire Close,5500000,House,3016,4,4,Marylebone,W1G 7BA
The Draycott,8950000,New development,3154,4,4,10 Draycott Avenue,SW3 3AA
College Cross,550000,Flat / Apartment,479,1,1,Islington,N1 1PT
St Mary's Grove,1300000,House,1101,3,3, Islington,N1 2NT
Goldhurst Terrace,800000,Flat / Apartment,1177,3,3,South Hampstead,NW6 3HR
Upper Park Road,3500000,House,2331,4,4,Belsize Park,NW3 2UP
Ditton Grove,374950,New development,664,2,2,Esher,KT10 9FN
Roymount Court,400000,Flat / Apartment,805,2,2, Surbiton,KT6 6NW
Wetherby House,1100000,Flat / Apartment,582,2,2,20-21 Wetherby Gardens,SW5 0JP
Stile Hall Gardens,1735000,House,2118,4,4,Chiswick,W4 3BS
Wavendon Avenue,2350000,House,2297,5,5,Chiswick,W4 4NR
Duke Road,1200000,House,1351,4,4,Chiswick,W4 2BA
Maltings Close,850000,House,1177,3,3,Barnes,SW13 0NL
Munster Road,1599950,House,1884,4,4,Fulham,SW6 5RF
Old Battersea House,9975000,House,10100,10,10, Battersea,SW11 3LD
Ashley Park Avenue,3450000,House,5599,6,6,Walton-on-Thames,KT12 1EU
Carlisle Mansions,1999999,Flat / Apartment,1608,3,3, Victoria,SW1P 1EZ
Park Close,725000,House,884,3,3,South Hackney,E9 7LF
Century Court,1750000,Flat / Apartment,1232,2,2,Grove End Road,NW8 9LD
Hornsey Town Hall,1250000,New development,1307,3,3,Crouch End,N8 9JJ
"The oTTo, Hackney",490000,New development,570,1,1, Downs Road,E5 8DS
Francis House,3350000,Penthouse,2185,3,3,Coleridge Gardens,SW10 0RP
Wendle Square,1000000,Flat / Apartment,1228,3,3,Battersea,SW11 4SS
Rectory Road,2350000,House,2511,4,4,Barnes,SW13 0DX
Thames Quay,2095000,Flat / Apartment,1528,3,3,Chelsea Harbour,SW10 0UY
Prince Edward Mansions,1250000,Flat / Apartment,811,2,2, Bayswater,W2 4WA
Chasefield Road,875000,House,1132,4,4,Tooting,SW17 8LW
Hampermill Lane,1675000,House,5022,3,3,Watford,WD19 4PL
Gatehill Road,2595000,House,4858,6,6,Northwood,HA6 3QF
St. Davids Mews,820000,House,974,3,3,Morgan Street,E3 5AZ
Chester Close South,830000,Flat / Apartment,850,2,2,Regent's Park,NW1 4JG
Lady Somerset Road,500000,Flat / Apartment,458,1,1,Kentish Town,NW5 1TX
Nicholas Way,2500000,House,5999,7,7,Northwood,HA6 2TR
Queens Grove,7500000,House,3851,6,6,St John's Wood,NW8 6EN
Enmore Road,749950,Flat / Apartment,1382,3,3,Putney,SW15 6LL
Weymouth Mews,3500000,House,1763,4,4,Marylebone,W1G 7EB
Portland Place,2100000,Flat / Apartment,1208,3,3,Marylebone,W1B 1NX
Ternary Place,650000,New development,1023,2,2, Ealing,W5 3HJ
Weston Park,1050000,House,1693,4,4,Thames Ditton,KT7 0HQ
Prince Henry Road,625000,House,1348,4,4,Kidbrooke,SE7 8PP
Kirby Street,625000,Flat / Apartment,540,1,1,Clerkenwell,EC1N 8TE
Great Peter Street,1100000,New development,791,2,2,Westminster,SW1P 2BN
Fassett Square,1500000,House,1811,4,4,Hackney,E8 1DQ
Duckman Tower,799995,Flat / Apartment,942,3,3, Canary Wharf,E14 9BL
West Grove,525000,House,829,2,2,Woodford Green,IG8 7NP
Ackmar Road,2595000,House,2120,5,5,Fulham,SW6 4UP
Romney House,820000,Flat / Apartment,631,2,2, Westminster,SW1P 3DS
Seymour Gardens,1200000,House,2108,4,4,Surbiton,KT5 8QE
Meredyth Road,2300000,House,2083,5,5,Barnes,SW13 0DS
Baronsmead Road,4000000,House,3714,5,5,Barnes,SW13 9RR
Warrington Gardens,1275000,Flat / Apartment,1185,3,3,Little Venice,W9 2PZ
North End Road,1750000,House,2125,4,4,Hampstead,NW11 7SY
Heath Hurst Road,2600000,House,2350,4,4,Hampstead,NW3 2RU
Tercelet Terrace,3450000,House,2354,4,4, Hampstead,NW3 7LW
Buckingham Gate,2375000,Flat / Apartment,1218,2,2,St. James's,SW1E 6LB
Camelot Close,1995000,House,1841,5,5,Wimbledon,SW19 7EA
Clarendon Close,1000000,House,1154,4,4,South Hackney,E9 7BY
Gatti House,3500000,Flat / Apartment,1770,2,2,410 Strand,WC2R 0NR
Stanmore Way,1225000,New development,2487,5,5,Loughton,IG10 2SA
Thornhill Crescent,850000,Flat / Apartment,773,2,2,Barnsbury,N1 1BJ
Ditton Grove,399950,New development,697,2,2,Esher,KT10 9FN
Sylvan Gardens,1499950,House,2982,5,5,Surbiton,KT6 6PP
